id;title;message;state;type;creation_date
1;Rustic bleeding-edge;green 1080p Metal;false;Sistema;2020-11-12T07:46:32
2;next-generation viral Tasty Wooden Towels;reboot Tuna;true;Subasta;2020-11-12T08:12:50
3;invoice partnerships Forges;workforce Officer solutions;true;Alquiler;2020-11-12T17:53:33
4;withdrawal compressing Unbranded Wooden Salad;payment Avon Terrace;false;Alquiler;2020-11-12T07:04:02
5;Table;Washington Specialist Jewelery;true;Sistema;2020-11-13T00:20:08
6;Gloves;Gorgeous Metal Table navigate mobile;false;Sistema;2020-11-12T12:08:04
7;Pataca Checking Account;Libyan Arab Jamahiriya bandwidth;true;Soporte;2020-11-12T11:41:02
8;Chief Money Market Account;Borders relationships Fantastic;true;Alquiler;2020-11-13T01:02:25
9;program Credit Card Account;Gorgeous Wooden Car Rhode Island;false;Soporte;2020-11-12T14:24:56
10;Chips Avon AGP;deposit Jamaica;true;Soporte;2020-11-13T03:27:33
