id;title;description;price;discount;land_square_meters;area_square_meters;latitude;longitude;zoom;address_text;creation_date;state
1;compress Borders;secured line;29756;21477;94932;79287;Belize Dollar Investment Account e-commerce;mint green Refined Fresh Shoes;5124;French Polynesia;2020-11-02T23:06:02;71047
2;withdrawal Investment Account;TCP invoice;47299;58838;45258;85370;Streamlined;Communications navigating North Dakota;25022;CSS synthesize Bedfordshire;2020-11-02T18:53:58;64893
3;interface incubate Granite;Avon;87269;92088;85780;20201;e-services Future Peru;redefine strategize transform;40568;New Hampshire Guinea Franc;2020-11-03T04:10:32;38087
4;lime Tuna bypassing;Refined Cotton Tuna;85021;53949;9334;8190;Tasty Concrete Mouse;Guarani Fantastic Concrete Bacon deposit;57107;Licensed strategy;2020-11-03T01:44:32;54484
5;Gloves;hack Chair Agent;19618;80449;24224;86303;Fantastic Concrete Bike;International;56854;Cambridgeshire SDD;2020-11-02T05:21:18;41044
6;Baby Hawaii;Fresh networks Norway;35635;76566;58133;4888;Fish superstructure;functionalities capability Massachusetts;10127;fuchsia Chief neural;2020-11-02T04:32:04;52790
7;Usability Buckinghamshire;Forward;69221;51475;27429;28633;Springs;olive Planner;19916;Berkshire gold;2020-11-02T06:46:24;65917
8;Handcrafted synthesizing;bus Coordinator;95698;23152;10474;56091;Berkshire;deposit cross-platform;58033;Rustic Steel Car;2020-11-03T03:09:50;64654
9;empowering generate;teal Chief Berkshire;34124;98049;22953;61458;Bacon Checking Account;Customer-focused;53115;Iraq Intelligent Gorgeous Plastic Shoes;2020-11-02T19:41:46;60889
10;Marketing feed Consultant;Avon Frozen;188;986;94101;56048;Intelligent Intelligent Rubber Shirt New Hampshire;Refined Metal Mouse;71147;Direct Global neural;2020-11-02T19:51:59;65431
